,x,y,z,layer,region,type
61,3708.0891201921468,-1213.534583014761,-2761.2360140928677,L6,S1FL,ObjectiveCSD_Disk
62,3714.1128701921466,-1215.044333014761,-2753.397764092868,L6,S1FL,ObjectiveCSD_Disk
63,3720.1366201921464,-1216.554083014761,-2745.559514092868,L6,S1FL,ObjectiveCSD_Disk
64,3726.1603701921467,-1218.063833014761,-2737.721264092868,L6,S1FL,ObjectiveCSD_Disk
65,3732.1841201921466,-1219.573583014761,-2729.8832640928676,L6,S1FL,ObjectiveCSD_Disk
66,3738.2078701921464,-1221.0833330147611,-2722.045264092868,L6,S1FL,ObjectiveCSD_Disk
67,3744.2316201921467,-1222.593083014761,-2714.2072640928677,L6,S1FL,ObjectiveCSD_Disk
68,3750.2553701921465,-1224.102833014761,-2706.3692640928675,L6,S1FL,ObjectiveCSD_Disk
69,3756.2791201921464,-1225.612583014761,-2698.531264092868,L5,S1FL,ObjectiveCSD_Disk
70,3762.3028701921467,-1227.122333014761,-2690.6932640928676,L5,S1FL,ObjectiveCSD_Disk
71,3768.3266201921465,-1228.632083014761,-2682.8552640928674,L5,S1FL,ObjectiveCSD_Disk
72,3774.3503701921463,-1230.141833014761,-2675.0172640928677,L5,S1FL,ObjectiveCSD_Disk
73,3780.3738701921466,-1231.651583014761,-2667.179014092868,L5,S1FL,ObjectiveCSD_Disk
74,3786.3973701921464,-1233.161333014761,-2659.3407640928676,L5,S1FL,ObjectiveCSD_Disk
75,3792.420870192146,-1234.671083014761,-2651.5025140928674,L5,S1FL,ObjectiveCSD_Disk
76,3798.4443701921464,-1236.180833014761,-2643.6642640928676,L5,S1FL,ObjectiveCSD_Disk
77,3804.4681201921467,-1237.690583014761,-2635.826264092868,L5,S1FL,ObjectiveCSD_Disk
78,3810.4918701921465,-1239.2003330147609,-2627.9882640928677,L5,S1FL,ObjectiveCSD_Disk
79,3816.5156201921463,-1240.710083014761,-2620.1502640928675,L5,S1FL,ObjectiveCSD_Disk
80,3822.5393701921466,-1242.219833014761,-2612.3122640928677,L5,S1FL,ObjectiveCSD_Disk
81,3828.5631201921465,-1243.729583014761,-2604.474014092868,L5,S1FL,ObjectiveCSD_Disk
82,3834.5868701921463,-1245.239333014761,-2596.6357640928677,L5,S1FL,ObjectiveCSD_Disk
