,x,y,z,layer,region,type
52,3379.797745192146,-1131.254208014761,-3188.412264092868,L6,S1FL,LineSource
53,3380.550713942146,-1131.442926764761,-3187.432514092868,L6,S1FL,LineSource
54,3381.303682692146,-1131.631645514761,-3186.452764092868,L6,S1FL,LineSource
55,3382.056651442146,-1131.8203642647609,-3185.4730140928677,L6,S1FL,LineSource
56,3382.809620192146,-1132.009083014761,-3184.493264092868,L6,S1FL,LineSource
57,3383.5625889421462,-1132.1978017647612,-3183.513514092868,L6,S1FL,LineSource
58,3384.3155576921463,-1132.386520514761,-3182.5337640928674,L6,S1FL,LineSource
59,3385.0685264421463,-1132.575239264761,-3181.5540140928674,L6,S1FL,LineSource
60,3385.8214951921464,-1132.763958014761,-3180.5742640928675,L6,S1FL,LineSource
61,3386.5744639421464,-1132.952676764761,-3179.5945140928675,L6,S1FL,LineSource
62,3387.3274326921464,-1133.141395514761,-3178.6147640928675,L6,S1FL,LineSource
63,3388.0804014421465,-1133.330114264761,-3177.6350140928676,L6,S1FL,LineSource
64,3388.8333701921465,-1133.518833014761,-3176.6552640928676,L6,S1FL,LineSource
65,3389.5863389421465,-1133.7075517647609,-3175.6755140928676,L6,S1FL,LineSource
66,3390.3393076921466,-1133.896270514761,-3174.6957640928676,L6,S1FL,LineSource
67,3391.0922764421466,-1134.084989264761,-3173.7160140928677,L6,S1FL,LineSource
68,3391.8452451921466,-1134.2737080147608,-3172.7362640928677,L6,S1FL,LineSource
69,3392.5982139421467,-1134.462426764761,-3171.7565140928677,L6,S1FL,LineSource
70,3393.3511826921467,-1134.6511455147609,-3170.776764092868,L6,S1FL,LineSource
71,3394.1041514421468,-1134.8398642647608,-3169.797014092868,L6,S1FL,LineSource
72,3394.857120192147,-1135.028583014761,-3168.817264092868,L6,S1FL,LineSource
73,3395.610088942147,-1135.217301764761,-3167.837514092868,L6,S1FL,LineSource
74,3396.363057692147,-1135.406020514761,-3166.857764092868,L6,S1FL,LineSource
75,3397.116026442147,-1135.5947392647608,-3165.878014092868,L6,S1FL,LineSource
76,3397.868995192147,-1135.783458014761,-3164.898264092868,L6,S1FL,LineSource
77,3398.621963942147,-1135.9721767647611,-3163.918514092868,L6,S1FL,LineSource
78,3399.374932692147,-1136.160895514761,-3162.938764092868,L6,S1FL,LineSource
79,3400.127901442147,-1136.349614264761,-3161.9590140928676,L6,S1FL,LineSource
80,3400.8808701921466,-1136.538333014761,-3160.9792640928677,L6,S1FL,LineSource
81,3401.633838942146,-1136.7270517647612,-3159.9995140928677,L6,S1FL,LineSource
82,3402.3868076921462,-1136.915770514761,-3159.0197640928673,L6,S1FL,LineSource
83,3403.1397764421463,-1137.104489264761,-3158.0400140928673,L6,S1FL,LineSource
84,3403.8927451921463,-1137.2932080147611,-3157.0602640928673,L6,S1FL,LineSource
85,3404.6457139421464,-1137.481926764761,-3156.0805140928674,L6,S1FL,LineSource
86,3405.3986826921464,-1137.670645514761,-3155.1007640928674,L6,S1FL,LineSource
87,3406.1516514421464,-1137.859364264761,-3154.1210140928674,L6,S1FL,LineSource
88,3406.9046201921465,-1138.048083014761,-3153.1412640928675,L6,S1FL,LineSource
89,3407.6575889421465,-1138.236801764761,-3152.1615140928675,L6,S1FL,LineSource
90,3408.4105576921465,-1138.425520514761,-3151.1817640928675,L6,S1FL,LineSource
91,3409.1635264421466,-1138.614239264761,-3150.2020140928676,L6,S1FL,LineSource
92,3409.9164951921466,-1138.8029580147609,-3149.2222640928676,L6,S1FL,LineSource
93,3410.6694639421466,-1138.991676764761,-3148.2425140928676,L6,S1FL,LineSource
94,3411.4224326921467,-1139.180395514761,-3147.2627640928677,L6,S1FL,LineSource
95,3412.1754014421467,-1139.3691142647608,-3146.2830140928677,L6,S1FL,LineSource
96,3412.9283701921468,-1139.557833014761,-3145.3032640928677,L6,S1FL,LineSource
97,3413.6813076921467,-1139.746551764761,-3144.3234828428676,L6,S1FL,LineSource
98,3414.4342451921466,-1139.935270514761,-3143.3437015928675,L6,S1FL,LineSource
